what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1264875801255
os,sysinfo,,,"linux",1264875801302
arch,sysinfo,,,"x86_64",1264875801303
ws,sysinfo,,,"gtk",1264875801303
locale,sysinfo,,,"es_ES",1264875801303
processors,sysinfo,,,"2",1264875801303
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264875801303
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1264875801303
java.specification.name,sysinfo,,,"Java Platform API Specification",1264875801303
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264875801303
java.specification.version,sysinfo,,,"1.6",1264875801303
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264875801303
java.version,sysinfo,,,"1.6.0_15",1264875801303
java.vm.info,sysinfo,,,"mixed mode",1264875801303
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1264875801303
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264875801303
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264875801303
java.vm.specification.version,sysinfo,,,"1.0",1264875801303
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264875801303
java.vm.version,sysinfo,,,"14.1-b02",1264875801303
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1264875801315
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1264875801980
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1264875802004
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1264875802047
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1264875802083
